k_x	k_y	k_z	k_A	k_B	k_C	damp_t	damp_r	success	partialSuccess	
223.0	266.0	150.0	5.0	5.0	8.0	0.2	0.3	false	false
108.0	209.0	248.0	7.0	10.0	7.0	0.2	0.7	false	false
261.0	84.0	222.0	7.0	8.0	10.0	0.3	0.8	false	false
284.0	84.0	297.0	9.0	7.0	6.0	0.6	0.2	false	false
69.0	173.0	168.0	10.0	9.0	6.0	0.7	0.4	false	false
135.0	245.0	235.0	8.0	9.0	6.0	0.7	0.8	false	false
82.0	198.0	240.0	9.0	10.0	9.0	0.9	0.1	false	false
209.0	130.0	232.0	8.0	7.0	9.0	0.9	0.7	false	false
211.0	112.0	63.0	10.0	8.0	5.0	0.9	0.9	false	false
246.0	55.0	174.0	8.0	6.0	73.0	0.3	0.3	false	false
155.0	154.0	153.0	7.0	6.0	67.0	0.3	0.7	false	false
240.0	175.0	84.0	10.0	9.0	35.0	0.1	0.8	false	false
51.0	209.0	286.0	9.0	7.0	74.0	0.6	0.2	false	false
143.0	97.0	119.0	7.0	10.0	58.0	0.7	0.7	false	false
259.0	56.0	104.0	9.0	10.0	71.0	0.7	0.8	false	false
128.0	174.0	280.0	9.0	8.0	68.0	0.9	0.3	false	false
115.0	80.0	69.0	9.0	6.0	59.0	0.8	0.7	false	false
206.0	171.0	272.0	5.0	10.0	35.0	0.8	0.9	false	false
193.0	94.0	148.0	10.0	5.0	162.0	0.3	0.2	false	false
276.0	173.0	274.0	6.0	5.0	167.0	0.1	0.7	false	false
176.0	132.0	58.0	6.0	7.0	180.0	0.3	0.9	false	false
110.0	181.0	171.0	9.0	9.0	81.0	0.7	0.2	false	false
289.0	211.0	186.0	5.0	10.0	148.0	0.4	0.7	false	false
82.0	207.0	298.0	9.0	5.0	191.0	0.5	0.8	false	false
290.0	182.0	126.0	10.0	10.0	137.0	0.9	0.1	false	false
164.0	279.0	205.0	6.0	10.0	100.0	0.8	0.5	false	false
270.0	240.0	283.0	9.0	5.0	198.0	0.9	0.8	false	true
282.0	155.0	150.0	6.0	20.0	10.0	0.1	0.2	false	false
118.0	281.0	131.0	6.0	23.0	6.0	0.2	0.4	false	false
222.0	284.0	266.0	8.0	29.0	7.0	0.1	0.9	false	false
57.0	269.0	51.0	6.0	61.0	9.0	0.6	0.2	false	false
287.0	141.0	242.0	10.0	56.0	8.0	0.7	0.4	false	false
259.0	131.0	266.0	6.0	18.0	6.0	0.7	0.8	false	false
111.0	164.0	57.0	10.0	62.0	10.0	0.8	0.2	false	false
107.0	179.0	169.0	7.0	45.0	5.0	0.8	0.6	false	false
184.0	265.0	255.0	8.0	63.0	9.0	0.8	0.8	false	false
154.0	90.0	243.0	6.0	78.0	49.0	0.1	0.2	false	true
247.0	250.0	298.0	7.0	42.0	23.0	0.3	0.6	false	false
267.0	73.0	111.0	8.0	32.0	77.0	0.3	0.9	false	false
279.0	128.0	220.0	6.0	57.0	42.0	0.6	0.1	false	true
202.0	119.0	109.0	8.0	53.0	66.0	0.7	0.6	false	false
129.0	283.0	65.0	5.0	41.0	36.0	0.6	0.8	false	false
262.0	275.0	122.0	7.0	26.0	38.0	0.8	0.1	false	false
296.0	153.0	260.0	8.0	42.0	11.0	0.9	0.6	false	false
188.0	100.0	85.0	10.0	13.0	12.0	0.9	0.8	false	false
202.0	99.0	142.0	7.0	29.0	102.0	0.2	0.2	false	false
57.0	77.0	114.0	7.0	49.0	182.0	0.2	0.6	false	true
200.0	194.0	282.0	5.0	64.0	159.0	0.1	0.9	false	true
235.0	108.0	197.0	10.0	11.0	154.0	0.4	0.2	false	false
121.0	96.0	197.0	10.0	60.0	170.0	0.6	0.5	false	true
288.0	248.0	278.0	6.0	27.0	190.0	0.5	0.8	false	true
193.0	156.0	186.0	10.0	70.0	117.0	0.9	0.3	false	true
126.0	121.0	72.0	6.0	25.0	163.0	0.9	0.5	false	false
92.0	57.0	165.0	8.0	73.0	130.0	0.8	0.8	false	true
200.0	146.0	188.0	8.0	119.0	10.0	0.1	0.2	false	false
222.0	129.0	162.0	7.0	94.0	5.0	0.1	0.5	false	false
163.0	234.0	237.0	9.0	90.0	10.0	0.2	0.8	false	false
90.0	289.0	268.0	10.0	156.0	10.0	0.4	0.2	false	false
121.0	221.0	162.0	6.0	117.0	7.0	0.7	0.6	false	false
