k_x	k_y	k_z	k_A	k_B	k_C	damp_t	damp_r	success	partialSuccess	
179.0	164.0	216.0	8.0	10.0	10.0	0.2	0.3	false	false
203.0	225.0	234.0	9.0	5.0	10.0	0.3	0.4	false	false
98.0	174.0	124.0	8.0	5.0	5.0	0.2	0.9	false	false
211.0	65.0	252.0	8.0	10.0	5.0	0.5	0.3	false	false
150.0	63.0	206.0	8.0	7.0	7.0	0.6	0.7	false	false
155.0	71.0	80.0	7.0	7.0	8.0	0.7	0.9	false	false
146.0	166.0	117.0	8.0	5.0	5.0	0.9	0.1	false	false
140.0	202.0	51.0	7.0	8.0	9.0	0.8	0.5	false	false
155.0	273.0	180.0	10.0	10.0	7.0	0.9	0.9	false	false
165.0	135.0	181.0	10.0	8.0	53.0	0.3	0.1	false	false
146.0	172.0	172.0	9.0	9.0	60.0	0.2	0.5	false	false
52.0	229.0	142.0	5.0	7.0	67.0	0.1	0.8	false	false
126.0	243.0	194.0	7.0	5.0	77.0	0.6	0.3	false	false
293.0	60.0	53.0	8.0	10.0	80.0	0.7	0.6	false	false
92.0	129.0	80.0	6.0	10.0	43.0	0.7	0.9	false	false
107.0	65.0	60.0	5.0	6.0	12.0	0.9	0.3	false	false
77.0	231.0	138.0	10.0	7.0	60.0	0.9	0.7	false	false
286.0	162.0	162.0	7.0	10.0	22.0	0.9	0.8	false	false
229.0	155.0	62.0	10.0	7.0	86.0	0.2	0.1	false	false
165.0	128.0	78.0	10.0	7.0	83.0	0.1	0.7	false	false
173.0	234.0	126.0	9.0	6.0	92.0	0.1	0.9	false	false
225.0	146.0	97.0	10.0	9.0	87.0	0.4	0.1	false	false
59.0	77.0	220.0	9.0	5.0	166.0	0.5	0.7	false	false
56.0	175.0	237.0	9.0	7.0	95.0	0.4	0.8	false	false
73.0	206.0	157.0	9.0	8.0	97.0	0.9	0.2	false	false
112.0	160.0	101.0	8.0	6.0	90.0	0.9	0.7	false	false
244.0	74.0	242.0	9.0	7.0	195.0	0.9	0.9	false	false
246.0	166.0	272.0	10.0	52.0	10.0	0.2	0.2	false	false
213.0	166.0	117.0	10.0	45.0	9.0	0.2	0.6	false	false
